Full Name, Party, Utterances Count, PA Profile, Profile Photo
"Badenhorst, Mr F","DA","126","https://www.pa.org.za/person/frederik-jacobus-badenhorst/","https://static.pmg.org.za/Council08.jpg"
"Pretorius, Mr G","DA","147","https://www.pa.org.za/person/gerrit-pretorius/","https://static.pmg.org.za/Pretorius_Gerrit_lores.jpg_web_size.jpg"
"Moore, Mr S J","DA","37","https://www.pa.org.za/person/stephen-james-moore/","https://static.pmg.org.za/SJ_Moore.jpg"
"Golding, Mr B C","DA","96","https://www.pa.org.za/person/brandon-carwyn-golding/","https://static.pmg.org.za/GOLDI.jpg"
"Hendricks, Mr HN","DA","660","https://www.pa.org.za/person/horatio-hendricks/","https://static.pmg.org.za/hendricks.jpg"
"Mokoena, Mr M J","DA","103","https://www.pa.org.za/person/moferefere-jafta-mokoena/","https://static.pmg.org.za/null"
"Du Plessis, Ms N","DA","6","https://www.pa.org.za/person/nicola-susanna-du-plessis/","https://static.pmg.org.za/sussanna_du_ples.jpg"
"Nair, Ms M","DA","2","https://www.pa.org.za/person/marlaine-nair/","https://static.pmg.org.za/nair.jpg"
"Tembe, Ms M","DA","3","https://www.pa.org.za/person/mmabatho-tembe/","https://static.pmg.org.za/temb.jpg"
"Pienaar, Mr N H","DA","4","null","https://static.pmg.org.za/null"
"Smit, Mr CFB","DA","551","null","https://static.pmg.org.za/null"
"Van Staden, Ms M","DA","1","https://www.pa.org.za/person/marlene-van-staden/","https://static.pmg.org.za/null"
"Halse, Ms T","DA","6","https://www.pa.org.za/person/tania-halse/","https://static.pmg.org.za/1/halse.jpg"
"Kruger, Mr L","DA","296","https://www.pa.org.za/person/leander-kruger/","https://static.pmg.org.za/null"
"Poole, Mr C","DA","77","https://www.pa.org.za/person/conrad-james-poole/","https://static.pmg.org.za/Conrad_Poole.jpg"
"Vilakazi, Mr S G","DA","27","https://www.pa.org.za/person/sibongeseni-gerald-vilakazi/","https://static.pmg.org.za/vilakazi.jpg"
"Singh, Mr N","IFP","1189","https://www.pa.org.za/person/narend-singh/","https://static.pmg.org.za/singh.jpg"
"Sithole, Mr KP","IFP","1912","https://www.pa.org.za/person/khethamabala-petros-sithole/","https://static.pmg.org.za/336.jpg"
"Hlengwa, Mr M","IFP","72","https://www.pa.org.za/person/mkhuleko-hlengwa/","https://static.pmg.org.za/Hlengwa_M.jpg"
"Van der Merwe, Mr JH","IFP","24","null","https://static.pmg.org.za/images/committee-members/resize/van_der_merwe_mr_j_h-van_der_merwe_jacobus_hercules_ifp.jpg"
"van der Merwe, Ms LL","IFP","584","https://www.pa.org.za/person/liezl-linda-van-der-merwe/","https://static.pmg.org.za/370.jpg"
"Buthelezi, Prince MG","IFP","1","https://www.pa.org.za/person/mangosuthu-gatsha-buthelezi/","https://static.pmg.org.za/Buthelezi_PMG.jpg"
"Mncwango, Mr MA","IFP","1","https://www.pa.org.za/person/mangaqa-albert-mncwango/","https://static.pmg.org.za/images/committee-members/resize/mncwango_mr_ma-mncwango_mangaqa_albert_0011_0.jpg"
"Ndlovu, Mr VB","IFP","68","https://www.pa.org.za/person/velaphi-bethuel-ndlovu/","https://static.pmg.org.za/images/committee-members/resize/ndlovu_mr_vb-ndlovu_velaphi_bethuel_anc.jpg"
"Msimang, Prof CT","IFP","60","https://www.pa.org.za/person/christian-themba-msimang/","https://static.pmg.org.za/Msimang_CT.jpg"
